group,n_primary_stacks,depth_um,bg_subtracted_mean,bg_subtracted_sem,normalized_mean,normalized_sem,lambda_mean_um,lambda_sem_um,n_lambda_ok,r_squared_mean
GelMA,2,268.8,36.7509,12.1651,0.0147632,0.00378186,81.8634,1.57757,2,0.904345
GelMA,2,273.6,35.962,11.5844,0.0144571,0.00356874,81.8634,1.57757,2,0.904345
GelMA,2,278.4,34.5023,11.6333,0.0138527,0.0036382,81.8634,1.57757,2,0.904345
GelMA,2,283.2,34.5822,10.9506,0.0139088,0.00335362,81.8634,1.57757,2,0.904345
GelMA,2,288,32.8971,11.3403,0.0131999,0.00357141,81.8634,1.57757,2,0.904345
GelMA,2,292.8,32.3488,10.8972,0.0129884,0.00340697,81.8634,1.57757,2,0.904345
GelMA,2,297.6,31.1349,10.3436,0.0125059,0.00321941,81.8634,1.57757,2,0.904345
GelMA,2,302.4,30.3789,10.5013,0.0121884,0.00331003,81.8634,1.57757,2,0.904345
GelMA,2,307.2,29.7162,10.0679,0.0119294,0.00315347,81.8634,1.57757,2,0.904345
GelMA,2,312,28.727,9.8387,0.0115288,0.00309225,81.8634,1.57757,2,0.904345
GelMA,2,316.8,28.8506,10.3634,0.0115621,0.0033047,81.8634,1.57757,2,0.904345
GelMA,2,321.6,27.5507,9.82013,0.0110437,0.0031243,81.8634,1.57757,2,0.904345
GelMA,2,326.4,26.7793,9.76206,0.0107272,0.00312637,81.8634,1.57757,2,0.904345
GelMA,2,331.2,26.2204,9.38417,0.0105092,0.00298922,81.8634,1.57757,2,0.904345
GelMA,2,336,25.1617,9.7946,0.0100582,0.00319443,81.8634,1.57757,2,0.904345
GelMA,2,340.8,25.3842,9.47025,0.010161,0.003053,81.8634,1.57757,2,0.904345
GelMA,2,345.6,24.3255,9.1704,0.009734,0.00296495,81.8634,1.57757,2,0.904345
GelMA,2,350.4,23.8073,8.64439,0.00953782,0.00276526,81.8634,1.57757,2,0.904345
GelMA,2,355.2,23.4303,8.31908,0.00939317,0.00264367,81.8634,1.57757,2,0.904345
GelMA,2,360,23.3639,8.61151,0.00935585,0.00276665,81.8634,1.57757,2,0.904345
GelMA,2,364.8,22.1378,8.49234,0.00885364,0.00275885,81.8634,1.57757,2,0.904345
GelMA,2,369.6,21.8792,8.45888,0.008748,0.00275377,81.8634,1.57757,2,0.904345
GelMA,2,374.4,21.6549,8.02341,0.00867011,0.00258154,81.8634,1.57757,2,0.904345
GelMA,2,379.2,22.4602,9.31127,0.00895912,0.00308609,81.8634,1.57757,2,0.904345
GelMA,2,384,21.3984,8.27124,0.0085558,0.00269253,81.8634,1.57757,2,0.904345
GelMA,2,388.8,20.662,7.98201,0.00826154,0.00259797,81.8634,1.57757,2,0.904345
GelMA,2,393.6,20.4781,8.21856,0.0081776,0.00270185,81.8634,1.57757,2,0.904345
GelMA,2,398.4,19.7001,7.78593,0.00787102,0.0025495,81.8634,1.57757,2,0.904345
GelMA,2,403.2,19.8441,8.02963,0.00792221,0.00264526,81.8634,1.57757,2,0.904345
GelMA,2,408,19.495,7.62875,0.00779161,0.00249153,81.8634,1.57757,2,0.904345
GelMA,2,412.8,19.3712,7.31361,0.00775114,0.00236559,81.8634,1.57757,2,0.904345
GelMA,2,417.6,18.8444,7.84496,0.00751572,0.00260276,81.8634,1.57757,2,0.904345
GelMA,2,422.4,18.5062,7.78133,0.00737819,0.00258791,81.8634,1.57757,2,0.904345
GelMA,2,427.2,18.468,7.53287,0.00737083,0.00248662,81.8634,1.57757,2,0.904345
GelMA,2,432,18.1293,7.74688,0.00722375,0.00258642,81.8634,1.57757,2,0.904345
GelMA,2,436.8,17.7488,7.37582,0.00707918,0.00244606,81.8634,1.57757,2,0.904345
GelMA,2,441.6,17.9445,7.38635,0.00715963,0.0024438,81.8634,1.57757,2,0.904345
GelMA,2,446.4,17.5108,7.34246,0.00698206,0.00244032,81.8634,1.57757,2,0.904345
GelMA,2,451.2,16.955,6.8888,0.00676787,0.00227178,81.8634,1.57757,2,0.904345
GelMA,2,456,16.7874,7.03887,0.00669363,0.0023394,81.8634,1.57757,2,0.904345
GelMA,2,460.8,16.8471,7.09651,0.00671631,0.00236118,81.8634,1.57757,2,0.904345
GelMA,2,465.6,15.8231,6.94484,0.00629865,0.00233314,81.8634,1.57757,2,0.904345
GelMA,2,470.4,15.5018,6.86178,0.00616877,0.00230969,81.8634,1.57757,2,0.904345
GelMA,2,475.2,15.9639,6.46484,0.00637297,0.0021302,81.8634,1.57757,2,0.904345
Hybrid,3,0,1313.07,282.446,1.00125,0.00193891,262.9,0,1,0.868687
Hybrid,3,4.8,1310.6,280.255,1.00008,0.00018424,262.9,0,1,0.868687
Hybrid,3,9.6,1307.82,277.96,0.998673,0.00203452,262.9,0,1,0.868687
Hybrid,3,14.4,1308.19,276.284,0.999782,0.00367509,262.9,0,1,0.868687
Hybrid,3,19.2,1302.69,275.164,0.995537,0.00366087,262.9,0,1,0.868687
Hybrid,3,24,1297.15,273.391,0.991551,0.00446021,262.9,0,1,0.868687
Hybrid,3,28.8,1293,268.69,0.990148,0.00831007,262.9,0,1,0.868687
Hybrid,3,33.6,1290.55,267.17,0.988677,0.00959837,262.9,0,1,0.868687
Hybrid,3,38.4,1287.22,266.777,0.986041,0.0090316,262.9,0,1,0.868687
Hybrid,3,43.2,1285.07,264.158,0.985393,0.0113234,262.9,0,1,0.868687
Hybrid,3,48,1285.59,265.241,0.985309,0.0103907,262.9,0,1,0.868687
Hybrid,3,52.8,1278.86,263.922,0.980148,0.0101782,262.9,0,1,0.868687
Hybrid,3,57.6,1277.27,262.696,0.979349,0.0110995,262.9,0,1,0.868687
Hybrid,3,62.4,1274.11,261.981,0.976902,0.0112983,262.9,0,1,0.868687
Hybrid,3,67.2,1271.23,260.826,0.974918,0.0120551,262.9,0,1,0.868687
Hybrid,3,72,1264.99,259.711,0.969989,0.0127936,262.9,0,1,0.868687
Hybrid,3,76.8,1260.88,256.949,0.967788,0.0137811,262.9,0,1,0.868687
Hybrid,3,81.6,1255.33,256.359,0.963285,0.0130824,262.9,0,1,0.868687
Hybrid,3,86.4,1250.74,254.661,0.960109,0.0138484,262.9,0,1,0.868687
Hybrid,3,91.2,1252.14,254.178,0.961512,0.0148452,262.9,0,1,0.868687
Hybrid,3,96,1245.1,251.935,0.956511,0.0153896,262.9,0,1,0.868687
Hybrid,3,100.8,1240.47,250.192,0.953298,0.0163407,262.9,0,1,0.868687
Hybrid,3,105.6,1232.16,247.476,0.947397,0.0173136,262.9,0,1,0.868687
Hybrid,3,110.4,1228.65,245.744,0.945174,0.0183037,262.9,0,1,0.868687
Hybrid,3,115.2,1222.41,243.499,0.94084,0.0191978,262.9,0,1,0.868687
Hybrid,3,120,1218.15,243.119,0.937323,0.0188245,262.9,0,1,0.868687
Hybrid,3,124.8,1211.67,239.808,0.933257,0.0208795,262.9,0,1,0.868687
Hybrid,3,129.6,1206.9,237.622,0.930118,0.0228225,262.9,0,1,0.868687
Hybrid,3,134.4,1200.73,233.201,0.926837,0.0263442,262.9,0,1,0.868687
Hybrid,3,139.2,1191.62,231.596,0.919732,0.0263349,262.9,0,1,0.868687
Hybrid,3,144,1182.61,226.034,0.914552,0.0301517,262.9,0,1,0.868687
Hybrid,3,148.8,1175.89,225.2,0.909176,0.0302717,262.9,0,1,0.868687
Hybrid,3,153.6,1167.48,222.368,0.903341,0.0329515,262.9,0,1,0.868687
Hybrid,3,158.4,1156.71,216.416,0.896934,0.0376308,262.9,0,1,0.868687
Hybrid,3,163.2,1151.59,214.524,0.893445,0.0387724,262.9,0,1,0.868687
Hybrid,3,168,1142.07,210.575,0.887245,0.0420414,262.9,0,1,0.868687
Hybrid,3,172.8,1133.56,205.733,0.882315,0.0459155,262.9,0,1,0.868687
Hybrid,3,177.6,1124.05,203.681,0.875353,0.0478658,262.9,0,1,0.868687
Hybrid,3,182.4,1115.33,201.192,0.869337,0.0505658,262.9,0,1,0.868687
Hybrid,3,187.2,1106.58,196.869,0.864137,0.0544985,262.9,0,1,0.868687
Hybrid,3,192,1099.65,194.449,0.860076,0.0593737,262.9,0,1,0.868687
Hybrid,3,196.8,1088.98,190.531,0.852957,0.0618352,262.9,0,1,0.868687
Hybrid,3,201.6,1079.55,187.81,0.847112,0.0669135,262.9,0,1,0.868687
Hybrid,3,206.4,1067.07,183.242,0.838819,0.0696612,262.9,0,1,0.868687
Hybrid,3,211.2,1056.4,182.907,0.83093,0.0727086,262.9,0,1,0.868687
Hybrid,3,216,1049.01,180.706,0.826746,0.0774629,262.9,0,1,0.868687
Hybrid,3,220.8,1035.19,177.061,0.81767,0.0817643,262.9,0,1,0.868687
Hybrid,3,225.6,1024.92,175.546,0.811559,0.087955,262.9,0,1,0.868687
Hybrid,3,230.4,1011.94,172.611,0.803026,0.091854,262.9,0,1,0.868687
Hybrid,3,235.2,999.352,173.35,0.793172,0.0933614,262.9,0,1,0.868687
Hybrid,3,240,988.249,170.143,0.787728,0.101294,262.9,0,1,0.868687
Hybrid,3,244.8,977.835,169.871,0.780675,0.104751,262.9,0,1,0.868687
Hybrid,3,249.6,963.971,168.747,0.77177,0.109921,262.9,0,1,0.868687
Hybrid,3,254.4,956.342,169.004,0.767278,0.114216,262.9,0,1,0.868687
Hybrid,3,259.2,942.796,168.923,0.758441,0.119041,262.9,0,1,0.868687
Hybrid,3,264,931.099,170.98,0.750595,0.123663,262.9,0,1,0.868687
Hybrid,3,268.8,919.404,171.28,0.742776,0.127206,262.9,0,1,0.868687
Hybrid,3,273.6,906.505,171.856,0.734429,0.131714,262.9,0,1,0.868687
Hybrid,3,278.4,895.028,171.482,0.727393,0.135993,262.9,0,1,0.868687
Hybrid,3,283.2,882.404,173.887,0.718851,0.140161,262.9,0,1,0.868687
Hybrid,3,288,872.307,174.66,0.71261,0.144091,262.9,0,1,0.868687
Hybrid,3,292.8,860.223,178.146,0.704818,0.149159,262.9,0,1,0.868687
Hybrid,3,297.6,848.485,180.181,0.696948,0.152707,262.9,0,1,0.868687
Hybrid,3,302.4,838.362,182.957,0.691209,0.158207,262.9,0,1,0.868687
Hybrid,3,307.2,826.002,182.561,0.682977,0.160709,262.9,0,1,0.868687
Hybrid,3,312,812.647,185.668,0.673951,0.164611,262.9,0,1,0.868687
Hybrid,3,316.8,800.401,186.33,0.667192,0.170025,262.9,0,1,0.868687
Hybrid,3,321.6,786.881,189.495,0.65763,0.172962,262.9,0,1,0.868687
Hybrid,3,326.4,775.986,193.146,0.651058,0.177803,262.9,0,1,0.868687
Hybrid,3,331.2,762.571,194.626,0.642108,0.180868,262.9,0,1,0.868687
Hybrid,3,336,749.382,196.2,0.63343,0.184075,262.9,0,1,0.868687
Hybrid,3,340.8,736.383,198.476,0.624764,0.187258,262.9,0,1,0.868687
Hybrid,3,345.6,721.61,199.079,0.61531,0.190716,262.9,0,1,0.868687
Hybrid,3,350.4,708.877,200.808,0.606868,0.193592,262.9,0,1,0.868687
Hybrid,3,355.2,694.577,201.574,0.597998,0.197375,262.9,0,1,0.868687
Hybrid,3,360,679.69,200.022,0.588668,0.200216,262.9,0,1,0.868687
Hybrid,3,364.8,663.364,201.359,0.577751,0.203215,262.9,0,1,0.868687
Hybrid,3,369.6,650.076,202.45,0.570189,0.207888,262.9,0,1,0.868687
Hybrid,3,374.4,631.234,199.933,0.55731,0.209322,262.9,0,1,0.868687
Hybrid,3,379.2,614.476,198.781,0.545893,0.211016,262.9,0,1,0.868687
Hybrid,3,384,598.088,196.544,0.535321,0.213311,262.9,0,1,0.868687
Hybrid,3,388.8,580.613,194.036,0.524184,0.215962,262.9,0,1,0.868687
Hybrid,3,393.6,564.009,190.587,0.51347,0.217938,262.9,0,1,0.868687
Hybrid,3,398.4,546.6,187.59,0.502667,0.220993,262.9,0,1,0.868687
Hybrid,3,403.2,528.318,183.824,0.489521,0.220852,262.9,0,1,0.868687
Hybrid,3,408,509.992,178.582,0.478331,0.223927,262.9,0,1,0.868687
Hybrid,3,412.8,491.976,174.271,0.465907,0.224686,262.9,0,1,0.868687
Hybrid,3,417.6,474.04,169.801,0.454247,0.226775,262.9,0,1,0.868687
Hybrid,3,422.4,459.295,166.786,0.444571,0.228551,262.9,0,1,0.868687
Hybrid,3,427.2,442.024,163.507,0.433467,0.231212,262.9,0,1,0.868687
Hybrid,3,432,423.926,161.595,0.42172,0.234206,262.9,0,1,0.868687
Hybrid,3,436.8,408.718,159.733,0.41136,0.235812,262.9,0,1,0.868687
Hybrid,3,441.6,395.172,159.743,0.402654,0.238626,262.9,0,1,0.868687
Hybrid,3,446.4,381.478,160.722,0.393928,0.241848,262.9,0,1,0.868687
Hybrid,3,451.2,368.347,161.351,0.385297,0.244445,262.9,0,1,0.868687
Hybrid,3,456,355.86,162.533,0.376846,0.246572,262.9,0,1,0.868687
Hybrid,3,460.8,344.155,164.622,0.36908,0.249071,262.9,0,1,0.868687
Hybrid,3,465.6,335.052,166.446,0.363085,0.251196,262.9,0,1,0.868687
Hybrid,3,470.4,327.247,168.522,0.358054,0.253348,262.9,0,1,0.868687
Hybrid,3,475.2,317.353,169.183,0.350363,0.253058,262.9,0,1,0.868687
